CustomerID,Gender,SeniorCitizen,Partner,Tenure,InternetService,TechSupport,Contract,MonthlyCharges,TotalCharges,Churn
CUST_1000,Male,1,No,62,No,No internet service,One year,19.20007762904449,1190.4048130007584,No
CUST_1001,Female,0,No,69,Fiber optic,No,Month-to-month,87.83473395850191,6060.596643136632,No
CUST_1002,Male,0,Yes,63,DSL,No,Two year,51.84133701878386,3266.0042321833835,No
CUST_1003,Male,1,Yes,2,Fiber optic,No,Month-to-month,85.70911937221892,171.41823874443784,Yes
CUST_1004,Male,0,No,54,Fiber optic,No,One year,86.30284634375276,4660.353702562649,No
CUST_1005,Female,0,No,16,DSL,No,Month-to-month,46.17662322823712,738.8259716517939,No
CUST_1006,Male,1,Yes,55,Fiber optic,Yes,Month-to-month,103.40866048211113,5687.476326516112,No
CUST_1007,Male,0,Yes,43,DSL,No,Two year,52.17709638298758,2243.615144468466,No
CUST_1008,Male,1,No,61,No,No internet service,Two year,19.455040350088026,1186.7574613553695,No
CUST_1009,Female,1,No,38,Fiber optic,Yes,Month-to-month,91.7441852662203,3486.2790401163716,No
CUST_1010,Male,0,No,45,No,No internet service,One year,21.61679773668452,972.7558981508034,No
CUST_1011,Male,1,No,51,No,No internet service,Two year,23.616589180713248,1204.4460482163756,No
CUST_1012,Male,0,Yes,42,No,No internet service,Two year,20.784084908542617,872.9315661587899,No
CUST_1013,Male,0,Yes,24,DSL,Yes,Month-to-month,57.45090224830761,1378.8216539593825,No
CUST_1014,Female,0,No,30,No,No internet service,Two year,22.925251873228092,687.7575561968428,No
CUST_1015,Male,1,No,37,Fiber optic,No,One year,89.58331252710283,3314.582563502805,No
CUST_1016,Female,0,Yes,53,Fiber optic,Yes,One year,100.06192249268005,5303.281892112042,No
CUST_1017,Female,0,Yes,63,DSL,No,Two year,39.66191200313084,2498.7004561972426,Yes
CUST_1018,Female,0,No,11,DSL,No,Month-to-month,43.95080421115702,483.45884632272725,No
CUST_1019,Male,0,Yes,23,No,No internet service,Month-to-month,22.77678792880114,523.8661223624263,No
CUST_1020,Female,0,Yes,50,DSL,No,Month-to-month,37.21286866496133,1860.6434332480665,No
CUST_1021,Male,0,No,55,DSL,No,Month-to-month,48.62949812756638,2674.622397016151,No
CUST_1022,Female,0,No,55,Fiber optic,No,Month-to-month,78.95531669928138,4342.542418460476,Yes
CUST_1023,Female,0,No,4,No,No internet service,One year,19.365432051919576,77.4617282076783,No
CUST_1024,Female,1,Yes,54,Fiber optic,No,Month-to-month,88.02938456788513,4753.586766665797,Yes
CUST_1025,Female,0,No,61,No,No internet service,Month-to-month,24.566130212959997,1498.5339429905598,No
CUST_1026,Female,0,No,5,DSL,No,Month-to-month,40.975911502987884,204.87955751493942,Yes
CUST_1027,Female,1,No,18,DSL,No,Month-to-month,50.3198602053255,905.7574836958589,Yes
CUST_1028,Female,0,No,44,Fiber optic,No,Month-to-month,70.62167621444992,3107.3537534357965,Yes
CUST_1029,Female,1,Yes,31,Fiber optic,Yes,One year,92.14311256563705,2856.4364895347485,No
CUST_1030,Male,0,Yes,21,Fiber optic,Yes,Month-to-month,101.09963717028229,2123.092380575928,No
CUST_1031,Male,1,Yes,47,DSL,No,Two year,51.506962527235956,2420.82723878009,No
CUST_1032,Female,0,Yes,30,DSL,Yes,Month-to-month,62.54445417723655,1876.3336253170967,No
CUST_1033,Female,0,No,55,DSL,No,Two year,41.80756601678537,2299.4161309231954,No
CUST_1034,Female,0,No,68,Fiber optic,No,Month-to-month,81.78055074249437,5561.077450489617,No
CUST_1035,Male,1,No,69,Fiber optic,No,Two year,71.11276769512368,4906.780970963534,No
CUST_1036,Female,0,No,41,DSL,No,One year,54.60312778561895,2238.728239210377,No
CUST_1037,Male,0,Yes,45,DSL,No,Two year,49.746939645215804,2238.612284034711,No
CUST_1038,Male,0,Yes,30,Fiber optic,Yes,One year,95.46146561898274,2863.843968569482,No
CUST_1039,Male,0,Yes,45,No,No internet service,Two year,22.94158224128286,1032.3712008577286,No
CUST_1040,Male,0,Yes,45,Fiber optic,No,One year,77.70263214233562,3496.6184464051025,No
CUST_1041,Male,0,Yes,45,DSL,No,Two year,45.279734827757466,2037.588067249086,No
CUST_1042,Female,1,No,55,Fiber optic,No,Two year,81.27751363004846,4470.263249652666,Yes
CUST_1043,Female,0,No,59,Fiber optic,No,One year,84.8404620630764,5005.587261721507,Yes
CUST_1044,Female,0,Yes,5,Fiber optic,No,One year,70.28921691507622,351.4460845753811,Yes
CUST_1045,Female,0,Yes,32,DSL,Yes,Month-to-month,61.629685764092834,1972.1499444509707,No
CUST_1046,Female,0,No,6,Fiber optic,No,Two year,82.0228333372569,492.1370000235414,No
CUST_1047,Male,0,Yes,26,Fiber optic,Yes,Month-to-month,91.40436803231094,2376.5135688400846,Yes
CUST_1048,Female,0,No,37,DSL,No,One year,46.94108931230035,1736.820304555113,No
CUST_1049,Female,0,No,13,DSL,No,Month-to-month,45.58169128015098,592.5619866419627,No
CUST_1050,Male,0,No,69,Fiber optic,No,Month-to-month,80.49985513482837,5554.490004303158,Yes
CUST_1051,Female,0,Yes,25,Fiber optic,No,One year,80.80727611567754,2020.1819028919385,No
CUST_1052,Male,1,No,13,No,No internet service,One year,20.282367852013998,263.670782076182,No
CUST_1053,Female,1,Yes,20,Fiber optic,No,Month-to-month,85.13623638484701,1702.7247276969401,No
CUST_1054,Male,0,No,72,Fiber optic,Yes,Month-to-month,90.49510552349025,6515.647597691298,No
CUST_1055,Female,1,Yes,60,DSL,Yes,Month-to-month,68.89351266394462,4133.610759836677,No
CUST_1056,Female,0,Yes,21,No,No internet service,One year,18.63065984217725,391.2438566857222,No
CUST_1057,Male,0,No,61,Fiber optic,No,Month-to-month,82.60851138938341,5039.119194752388,No
CUST_1058,Male,0,No,26,Fiber optic,No,One year,85.2686605429577,2216.9851741169005,No
CUST_1059,Male,0,No,54,DSL,No,One year,43.01486729994548,2322.8028341970557,No
CUST_1060,Male,0,No,42,DSL,Yes,Two year,61.95500073771321,2602.110030983955,No
CUST_1061,Male,0,No,11,Fiber optic,No,Month-to-month,88.47966398781863,973.2763038660049,No
CUST_1062,Male,0,Yes,37,DSL,No,Month-to-month,53.123715420661,1965.577470564457,No
CUST_1063,Male,0,No,11,DSL,No,One year,50.90209886005583,559.9230874606142,No
CUST_1064,Male,0,No,27,DSL,No,One year,44.6644993266341,1205.9414818191208,No
CUST_1065,Female,0,No,34,DSL,No,Month-to-month,48.400161505494204,1645.605491186803,No
CUST_1066,Female,0,No,38,Fiber optic,No,Two year,72.32228071490836,2748.2466671665175,No
CUST_1067,Male,0,Yes,61,Fiber optic,Yes,Month-to-month,91.88216934645938,5604.812330134022,No
CUST_1068,Female,1,No,53,DSL,Yes,Month-to-month,68.1293012930308,3610.8529685306326,No
CUST_1069,Female,1,Yes,65,Fiber optic,Yes,Month-to-month,96.14367428660992,6249.338828629645,No
CUST_1070,Female,0,Yes,3,No,No internet service,Two year,18.598177091046338,55.794531273139015,No
CUST_1071,Female,1,No,67,No,No internet service,Month-to-month,19.08473292566708,1278.6771060196943,Yes
CUST_1072,Male,0,Yes,28,Fiber optic,Yes,Month-to-month,104.65786802968772,2930.420304831256,No
CUST_1073,Female,0,No,14,Fiber optic,No,Month-to-month,83.47110117539138,1168.5954164554794,No
CUST_1074,Male,0,Yes,52,DSL,No,One year,54.1241731873523,2814.4570057423193,No
CUST_1075,Female,0,Yes,30,Fiber optic,No,Two year,76.55378898885256,2296.6136696655767,No
CUST_1076,Female,1,No,58,Fiber optic,No,Month-to-month,70.71458204162897,,No
CUST_1077,Female,0,No,54,Fiber optic,Yes,Month-to-month,92.10091934387488,4973.449644569243,No
